"x"
"1" 29
"2" 17
"3" 63
"4" 31
"5" 55
"6" 9
"7" 92
"8" 61
"9" 10
"10" 16
"11" 63
"12" 6
"13" 61
"14" 59
"15" 66
"16" 41
"17" 68
"18" 6
"19" 99
"20" 21
"21" 87
"22" 68
"23" 52
"24" 83
"25" 66
"26" 98
"27" 45
"28" 50
"29" 24
"30" 100
"31" 83
"32" 37
"33" 44
"34" 4
"35" 97
"36" 67
"37" 56
"38" 74
"39" 75
"40" 71
"41" 55
"42" 22
"43" 86
"44" 22
"45" 93
"46" 65
"47" 38
"48" 84
"49" 54
"50" 83
"51" 100
"52" 71
"53" 99
"54" 19
"55" 63
"56" 11
"57" 11
"58" 62
"59" 91
"60" 20
"61" 79
"62" 42
"63" 59
"64" 95
"65" 70
"66" 74
"67" 8
"68" 25
"69" 45
"70" 58
"71" 57
"72" 75
"73" 81
"74" 34
"75" 70
"76" 68
"77" 39
"78" 12
"79" 14
"80" 21
