"vector1" "vector2" "vector3"
"A" -43 -0,0556965308532588
"A" -67 0,725340685330653
"A" 25 1,00510144177326
"A" -38 0,115492804724362
"A" 10 0,263699015232421
"A" -83 0,981400804657418
"A" 83 -2,41663469335274
"A" 20 0,603117873102398
"A" -81 -0,0986554954996063
"A" -69 0,446067216312518
"A" 25 -1,03522692664267
"A" -90 -2,01406550857982
"A" 21 -0,833754657341254
"A" 18 0,986110219183504
"A" 31 0,349212428502082
"A" -19 0,473031291770327
"A" 36 0,101845881222749
"A" -89 0,101503361470067
"A" 97 -0,0497152724697939
"A" -59 -0,223214151147286
"A" 73 -0,116046495675986
"A" 35 0,801434915895146
"A" 3 -0,679923799306675
"A" 65 -1,40425071665517
"A" 30 -0,192881471754364
"A" 95 -0,465340074555265
"A" -12 -1,46090797745475
"A" -1 1,28448932432412
"A" -53 -1,17010738036516
"A" 99 1,03904671016847
"A" 65 -2,00024116781401
"A" -26 -1,72284726088821
"A" -13 -0,680271543237946
"A" -93 -0,132301294433334
"A" 94 0,392566834704387
"A" 34 0,305153487391956
"A" 11 0,101937210772396
"A" 48 0,328164713863884
"A" 50 0,476566677420984
"A" 42 1,77196775887351
"A" 9 -0,633081224774817
"A" -57 -0,956141933284565
"A" 72 -0,679360940131934
"A" -57 2,01630715008457
"A" 85 2,00784395100856
"A" 30 1,43019504084533
"A" -24 0,084916396686126
"A" 67 -0,271371222573073
"A" 6 -0,777934018361986
"A" 66 -0,337049556009563
"A" 99 0,234205819945484
"A" 41 -2,35991298453921
"A" 97 -0,722568199107755
"A" -63 0,251305072036171
"A" 26 1,05769621857037
"A" -80 0,308342737898171
"A" -79 0,461673379436091
"A" 23 -0,793900349230409
"A" 82 -1,66462679119084
"A" -62 0,157328404411852
"A" 58 0,318835489914118
"A" -17 -0,498640918051217
"A" 18 -0,0157196593656812
"A" 89 -0,410733146529836
"A" 39 -0,211696222583351
"A" 48 -0,737958990034355
"A" -86 -0,143984783742206
"A" -52 -0,234971999467544
"A" -12 -0,264318060416236
"A" 15 -0,562783356151253
"A" 14 -0,538707978275884
"A" 48 0,462853580630897
"A" 61 1,80726475690856
"A" -33 0,532128531982052
"A" 39 -0,17243649331933
"A" 35 -0,925791041153644
"A" -22 -1,39272212609618
"A" -77 1,60779192875548
"A" -73 -0,98191335174072
"A" -59 -0,0997982176344421
"A" -72 0,169998447282206
"A" -24 1,86273920139174
"A" 68 -0,887517924733183
"A" 91 -0,598995650565386
"A" -7 -0,413320269692292
"A" -55 0,767570640040116
"A" -23 -0,232399859239498
"A" -20 0,56268739177708
"A" -55 1,0531323391836
"A" -7 1,37189493284899
"A" 17 0,729095954719513
"A" 68 0,310737608260594
"A" -93 0,289834720415496
"A" -62 0,201123690726207
"A" 3 -0,259350509830797
"A" 18 1,19451265321674
"A" -7 -0,331973757667107
"A" -40 1,58685532819112
"A" -61 0,474650969714547
"A" -81 0,302631228092356
"B" 36 1,07412246507818
"B" -83 1,08649819070899
"B" 26 1,34659888642443
"B" 63 0,90619660859138
"B" -62 0,758417765185517
"B" -22 0,859410678918895
"B" 77 1,11043421884114
"B" 9 1,37023321774397
"B" -15 0,397430805011455
"B" 99 -0,0118448923893686
"B" 59 -1,20069589356926
"B" 53 -0,637950589666186
"B" 57 -1,09587675129803
"B" 81 0,986762750420671
"B" 4 0,875169701434236
"B" -25 -0,97027311226499
"B" 9 1,78446110875527
"B" -10 0,338716445199733
"B" 10 -0,389653174404006
"B" 2 0,499066833150032
"B" 22 0,165369626603053
"B" 96 0,280717433574438
"B" -63 -0,246316772009712
"B" -29 2,14787977580389
"B" -84 1,06000868132798
"B" 83 -0,178827460105827
"B" 13 -1,02498900343923
"B" 71 -1,31261750674621
"B" 18 -2,04940167332912
"B" 24 0,213771901999372
"B" 99 -0,732861535501594
"B" -41 0,380288601878107
"B" -67 -1,11028215439087
"B" -78 -0,416156387630792
"B" -64 1,75417083757056
"B" -1 -0,230186888684542
"B" 88 1,55120700317861
"B" 72 0,130105510347941
"B" -80 -1,03434324022519
"B" 57 1,38609768353834
"B" -91 1,2333121242446
"B" 9 0,317620550772754
"B" 11 -0,517227820947413
"B" 68 1,75849557123767
"B" 6 -0,547032384727078
"B" 58 -0,915709149062109
"B" -95 -0,512000316833687
"B" 39 -1,08619406154886
"B" 12 -1,42100905030997
"B" -85 0,145351972202346
"B" 100 -1,07845990930501
"B" 8 0,740247514218518
"B" 12 0,509821950603838
"B" 12 1,03621761494404
"B" 88 2,45764194742137
"B" 9 1,5587575091966
"B" 49 1,78282572590202
"B" 98 -0,0157314074763934
"B" 25 0,835924251258168
"B" 76 -0,592444229103968
"B" -98 -0,525750476585487
"B" -13 1,45008294523757
"B" 71 1,82297509448526
"B" -97 -1,57373130505713
"B" -54 -0,180219194689031
"B" 42 -1,61691230567136
"B" -98 0,375777327126334
"B" -29 0,330394661102559
"B" -52 -1,015453577064
"B" -27 0,363020739469632
"B" 58 1,07853160294773
"B" 47 1,33425892864562
"B" 41 -0,926332674179139
"B" -59 -0,263800945726217
"B" 63 -1,84342405379587
"B" 5 -0,121161413396097
"B" -19 2,10970074256401
"B" -32 1,54369874570289
"B" -100 1,14994082436063
"B" -87 0,476223773564646
"B" -53 1,56389409831015
"B" -97 -0,662971865225304
"B" 52 -0,495766067779765
"B" 100 0,993256250080019
"B" 66 -0,164794017268649
"B" 2 0,0025583436958789
"B" 72 0,263258350734662
"B" 49 -1,74187201182604
"B" 57 -1,08775290452744
"B" -21 0,933717761242638
"B" -70 1,18139970953823
"B" -62 -0,445882759041847
"B" 41 -0,355984611186626
"B" -33 0,231208667628348
"B" 98 -0,0303719281455991
"B" 19 0,470946939212164
"B" 78 -0,0802138070995082
"B" 9 0,499920490307721
