"muestra1" "muestra2"
130.806404404778 150.368253664595
135.416188623031 139.99340170258
134.398420214332 135.523275244235
140.782133221138 135.356579901037
127.052711817505 122.736350850048
135.424031894501 141.180345702345
135.134848617299 150.676860226234
135.825134741109 141.67687217669
136.132566932426 133.848373565922
144.925384761956 142.67056877188
139.394132546202 122.516924379014
133.938973339805 146.908932304228
135.763964495764 142.000842073027
132.996604082297 129.403016511905
130.000001469972 147.79824498622
138.526074106573 138.126144597096
132.887162832231 137.300018429021
143.304372832795 140.024244835313
134.478090009147 141.00174957166
137.200813196989 146.76135615952
134.305615605213 141.967623574045
139.354794687527 132.715690167734
141.181605345803 145.06198399176
132.147977306065 151.506604871946
134.157775046548 130.63566239714
146.674378296262 140.556158333904
144.531458589792 141.838689556542
135.468734973559 149.812807236091
127.23477545581 134.182219015413
140.694432558976 136.125045959497
137.890851524002 142.179836856127
134.922588520999 137.135365565578
136.350001473295 157.860732028106
126.225555418986 129.81506979315
132.975617158154 134.794201720583
134.637945058798 126.624852808533
138.207954085411 148.091066901927
136.357665563494 152.407582818707
132.293429533726 138.624126640202
128.068858178988 141.845070657878
128.198715298877 143.931432037305
138.839847586021 141.043962387183
133.312814067836 139.384216300391
132.210692636808 140.010005542185
129.881964345108 139.433494936344
134.869090194641 146.506945458877
124.431966320004 135.204229210242
133.910121561892 148.594664248351
133.295237651153 143.080826135109
129.267059923486 139.518294818382
136.146099743808 139.192982870266
135.489141471703 144.657244082712
129.252694217323 146.614495054263
139.885117127513 140.390650826413
132.739559311071 141.427525165742
138.036087213189 146.448681608478
137.840885534286 122.6754820918
133.992559690975 143.802153751168
134.303745549027 138.892435086653
134.388178932129 142.703402251875
135.182199371723 132.340031644363
129.136672595899 125.491920458756
126.432564122682 133.749563845538
134.567537808514 146.481629425297
134.90436088095 142.025790674211
146.916547308495 142.892047233958
128.675612304516 140.295174768148
129.051054103861 140.292778445207
141.69981399198 139.234828710015
127.119641097981 138.021002821164
125.04284324302 138.770764869485
134.486572241573 145.189611483328
134.15144161517 134.825789118058
123.914402813303 129.758282221349
134.533532245144 138.233215094846
147.461713679301 136.327051157414
134.499513226607 129.361898968189
141.712936289686 148.569137340465
137.158324575806 131.396386429614
135.364364985785 146.851981578074
121.692165931196 125.588637756561
139.161106029241 127.529329870554
129.930003384322 134.823356245928
121.821010543797 138.657043699065
130.07036124387 142.329105030161
137.938069727854 141.717547279427
136.5002702435 140.295813724276
138.349733282548 141.878537498146
132.495255656395 142.916781357098
116.804964483138 151.979614391516
130.002144299527 135.153507257221
137.393206792683 132.893322899554
138.665637537445 134.829726970817
139.277742538325 153.689051829837
137.823861028858 153.629841936267
128.402014671799 149.588517824161
136.516377871835 140.176733388169
145.249489870823 137.684088251609
140.096971078503 134.14009395871
131.43635838424 137.224592132271
