X T
4.30560740754288 A
6.52966329250026 A
6.03862646480504 A
9.11853949510445 A
2.4945850920106 A
6.53344739024654 A
6.39392680988064 A
6.72696515685647 A
6.87529018509023 A
11.1175100620406 A
8.44887885086123 A
5.81695979306111 A
0.389689702292723 B
-4.96543565850173 B
-10.7641681139464 B
5.73465422305189 B
-5.17721566767361 B
14.9811508361143 B
-2.09860890910976 B
3.1701388559728 B
-2.43236451611397 B
7.33831328331857 B
10.8733786972416 B
-6.60761524202594 B
-2.71845111372805 B
21.5024559887082 B
17.3556872445935 B
-0.181609610194061 B
