81 21 6 40 43
60 62 34 24 35
60 35 37 7 63
13 46 67 76 63
69 72 94 83 9
43 70 60 69 59
40 81 17 73 2
53 26 50 54 71
13 33 9 22 82
12 44 60 55 45
52 10 45 16 40
79 32 78 56 71
11 22 33 95 22
49 74 57 1 87
75 50 53 6 66
43 94 38 59 40
33 39 53 69 74
70 57 40 13 8
39 59 93 23 12
63 23 66 49 5
98 90 70 92 43
18 57 36 20 4
2 73 68 33 64
31 11 17 14 35
52 12 14 15 77
84 33 28 35 60
4 14 16 84 66
48 73 39 87 13
43 81 56 72 70
57 24 61 30 94
31 42 19 76 14
29 84 77 76 27
13 38 8 54 76
30 83 4 63 85
18 96 76 100 51
5 64 73 22 30
54 22 31 87 72
31 98 3 12 90
63 53 18 70 33
27 97 68 91 54
28 94 78 24 77
18 8 15 16 86
93 84 22 70 5
56 95 96 19 99
34 82 87 55 25
16 71 34 74 2
95 40 91 61 98
29 29 84 38 74
15 100 69 8 9
66 100 49 87 76
22 6 18 30 27
52 18 100 29 12
85 27 54 51 29
62 90 44 24 33
6 83 36 21 73
96 93 75 79 27
32 57 68 22 93
16 82 99 82 81
99 50 32 19 38
41 38 47 52 47
63 38 10 29 58
68 39 31 85 50
74 84 76 83 99
89 22 43 80 96
99 43 25 43 65
85 4 42 60 33
11 88 63 2 79
57 41 47 13 83
1 69 34 59 39
20 27 96 38 41
33 65 32 48 79
6 7 48 30 54
29 6 82 36 3
1 73 23 11 66
61 51 65 72 55
71 32 85 70 21
42 2 30 9 99
55 57 50 29 78
89 81 12 41 62
71 51 83 4 15
3 92 70 52 32
28 13 50 1 58
99 1 80 42 17
93 66 88 51 36
1 80 45 81 22
35 64 85 77 56
67 58 12 30 100
84 10 44 44 65
52 76 73 97 6
97 67 55 65 21
40 15 19 8 32
53 51 72 53 58
84 29 13 25 57
69 97 18 48 90
9 87 12 60 34
51 97 55 89 88
13 29 41 52 12
11 83 20 86 42
49 76 61 43 37
26 11 35 22 62
82 38 61 59 18
58 54 29 19 21
3 50 96 85 88
83 54 73 59 32
24 66 77 91 24
88 4 99 19 78
89 42 55 7 72
62 100 81 68 1
75 27 66 61 82
86 13 46 96 67
68 16 21 87 36
3 51 54 30 84
66 24 4 95 10
86 71 49 6 32
70 66 47 97 15
80 41 17 43 20
92 17 37 55 68
30 34 46 50 70
70 67 81 91 29
3 62 85 91 100
19 82 14 88 11
54 68 40 45 4
70 50 94 4 25
84 84 35 1 18
57 58 50 41 46
63 26 4 99 2
65 49 84 14 58
14 29 43 83 12
76 37 81 2 26
6 3 33 77 37
10 91 90 37 88
77 84 9 33 66
14 94 67 25 32
50 4 71 98 74
21 25 46 47 48
62 55 30 70 45
22 62 92 57 8
1 93 14 75 75
42 57 16 74 23
9 14 26 86 40
98 15 7 90 81
49 45 43 1 23
48 98 75 52 7
84 92 64 61 56
51 6 23 73 64
42 63 91 41 24
5 11 60 17 92
22 16 68 70 65
60 82 21 34 96
29 79 1 21 4
18 36 34 71 23
72 87 21 25 38
17 5 59 12 81
4 20 36 39 94
67 81 32 86 20
73 67 68 90 23
69 34 72 72 43
52 26 98 1 41
22 46 73 68 26
27 24 67 99 6
82 18 55 98 89
56 85 47 32 18
80 97 66 98 100
28 71 14 31 7
59 77 3 87 98
78 96 86 56 70
82 64 7 52 13
36 10 86 5 19
46 99 2 99 83
25 29 50 42 32
34 100 41 80 16
31 22 87 74 71
13 57 53 75 3
62 46 87 95 59
44 69 62 2 14
51 7 91 40 93
6 10 5 55 68
21 28 76 34 22
20 89 55 60 82
21 84 58 57 31
77 26 78 44 54
52 98 74 5 47
99 85 16 48 2
16 36 12 96 27
63 75 20 64 95
49 22 94 13 61
2 35 13 29 85
48 65 77 62 73
92 65 28 90 39
82 30 85 47 75
7 93 53 66 61
46 86 84 48 85
