"muestra1" "muestra2"
124.210697984738 165.046383754309
137.052239735586 140.262015178385
134.217027739925 129.583379750118
152.000228258886 129.185163096922
113.753982920192 99.036838141781
137.074088848968 143.097492511158
136.268506862477 165.783610540448
138.191446778803 144.283639088761
139.047865026043 125.582225740814
163.54214326545 146.657469843936
148.133654950134 98.5126526832009
132.937140018027 156.782449393433
138.021043952485 145.057567174454
130.31196851497 114.962761667328
121.964289809208 158.906918578192
145.715492154023 135.801345426396
130.007096461215 133.827821802662
159.026467177072 140.33569599547
134.438965025481 142.670846198967
142.023693905897 156.429906381075
133.958500614522 144.978211871329
148.024070915253 122.876370956253
153.113043463309 152.370295091425
127.947936781181 167.765778305205
133.546659058241 117.907415726501
168.414339539587 141.606378242105
162.444777500134 144.670202829516
137.198618854913 163.719483952884
114.261160198329 126.379745425708
151.755919271433 131.020943125465
143.94594353115 145.485165822969
135.677210879925 133.434484406659
139.653575532749 182.945082067143
111.449761524317 115.947111172525
130.253504940573 127.841704110282
134.884275520938 108.326037264829
144.829300666502 159.606437599048
139.674925498305 169.918114511356
128.353125129666 136.990969196039
116.584676355751 144.685446571598
116.946421189728 149.669532089117
146.589575418202 142.771687924938
131.192839188972 138.806738939823
128.122643773966 140.301679906331
121.635472104228 138.924460125711
135.528179827928 155.822147485094
106.453334748582 128.821214224466
132.856767208127 160.809475704395
131.143876313926 147.637529100539
119.922524072568 139.12703762169
139.085563572038 138.349903523414
137.255465528316 151.403416419812
119.882505319684 156.079071518518
149.501397712357 141.21099919643
129.595915223697 143.687976784829
144.350528665314 155.682961620252
143.806752559797 98.8914294415232
133.086416282002 149.36070062779
133.95329117229 137.631928262559
134.188498453787 146.735905379478
136.400412535515 121.978964483756
119.559302231432 105.619587762584
112.026428627471 125.346180297674
134.688141038004 155.761670293766
135.626433882647 145.117166610616
169.088953216522 147.186557281122
118.274919991151 140.982917501687
119.32079357504 140.977192952439
154.556624691945 138.449868585036
113.940428772948 135.550173406114
108.155063319841 137.341271632658
134.462594101523 152.675182987951
133.529015927975 127.917162893138
105.011550694201 115.811451973224
134.593411254331 136.057124948798
170.607630963766 131.503511098266
134.498643988405 114.864536424006
154.593179664125 160.748494757777
141.905332746889 119.724700915189
136.907873888972 156.646400436509
98.8210336654732 105.850634640673
147.484509652885 110.486732468546
121.76929514204 127.911351031939
99.1799579434349 137.06960439221
122.160292036496 145.841750905385
144.077479956164 144.380807389742
140.072181392607 140.984443896883
145.224257001383 144.76539513446
128.915355042816 147.245644353067
85.2066867744562 168.895745490843
121.97025912011 128.700045114473
142.559647493903 123.300715815601
146.104275997168 127.92656998584
147.809425642476 172.9794015935
143.75932715182 172.837955736639
117.512755157153 163.183681468829
140.117052642968 140.69997420507
164.445007497292 134.7453219344
150.091562290116 126.279113345808
125.965569784669 133.647636760426
