X T
23.4605999096457 A
15.598280448541 B
51.9988465065498 B
21.6966728310644 A
3.81076252281305 B
23.4239486850839 A
26.5842231590497 A
22.9753625013886 A
14.0678381212815 B
25.1853190973464 B
25.0253786025462 A
23.4075711268393 B
37.1688487042454 B
17.3862684689826 B
22.5775012789561 A
54.7175961559632 B
22.0064204163727 A
18.6998198826422 A
23.8306114887893 A
28.0903361221038 A
12.7672926315808 B
6.14916724083803 B
16.9480802630229 B
22.7109895636368 A
39.6552942858675 B
35.0609224303273 B
7.56587209754821 B
21.1619703149375 A
18.0969468372537 B
23.4503395198656 A
19.8162552706551 B
23.3292527489174 A
13.9647557388276 B
14.2764964870262 B
22.0337758328292 A
24.164116734722 A
25.3765700489303 A
15.8298175311535 B
22.156914401392 A
23.5325248448317 B
17.5246437278331 A
34.7816453954308 B
53.512493472184 B
23.9636297130648 A
36.6101804515207 B
40.7348701307765 B
40.9678170138121 B
20.4061605494309 A
22.1897782725772 A
18.9133609085659 A
29.8225726442781 B
26.540623141575 B
26.3414980797674 B
24.6556788990516 A
-5.01017742681989 B
31.6911210589616 B
-0.0568165147471618 B
24.6000741632516 A
23.4112429228007 A
46.9479905251648 B
21.2301871947505 B
25.7177602422906 B
22.6958815340569 A
20.1134062600214 B
26.0634090273564 A
28.3604812281762 A
23.6091693721966 A
48.18757572982 B
19.9367898539616 B
24.3205609380066 A
33.5285971778329 B
14.8041808186536 B
33.5819038561241 B
20.5786609399486 A
23.4879122539059 A
38.5672831222543 B
22.3701626868733 A
17.6949178517961 A
20.4139025980121 A
19.7447264546412 A
24.0899840397463 A
25.9097804407579 B
19.6232017858293 A
17.3184994491508 B
20.5362489044047 A
23.0211850267286 A
30.2335193814517 B
22.9388544040053 A
24.261026561079 A
33.8597188487547 B
23.4405895731986 A
24.7004257250509 A
-4.11367995825517 B
23.771325536927 A
36.8995283652495 B
20.9986820445814 A
43.3325326311023 B
26.6999088320809 A
23.330776438314 B
8.10442219250529 B
27.1238950315316 B
41.6970952387577 B
19.2085441724738 B
4.20326509440559 B
23.0617810269694 A
34.87378188216 B
19.7087813538987 A
20.1420471293942 B
43.6933218493828 B
12.6479158471136 B
35.2009257054646 B
21.687177065472 A
25.8240782507113 A
25.5196553124894 A
19.9946517549557 A
23.2152377375232 A
20.9683885888177 A
27.4835060426155 B
12.7081911751992 B
24.4431015397343 B
29.3357149103982 B
24.4124876050272 B
25.0865865796495 A
23.1917909689682 A
21.239700808919 A
20.8544711140125 A
22.2004332165541 A
27.3637231301014 A
23.2416765613775 A
19.5077718782793 B
20.792603661635 A
25.8931181719068 A
20.8194727901493 B
25.6993062537416 A
23.1294686596134 B
26.6886342306813 A
20.8530712725224 A
18.4640989620285 B
25.3188374050682 A
25.6957420260514 A
28.190252400299 A
24.8718331479251 A
25.6230761024642 A
23.2341560370249 A
25.0871562119096 A
21.461073616156 A
18.5845420016854 B
24.979308952242 A
22.7229740226582 A
45.2840958840228 B
27.6599246154004 B
22.343003254789 A
24.3834535532788 A
24.4757214271478 A
22.7229992212867 A
43.4733731967085 B
-13.6156697935888 B
39.1616574876754 B
20.0137169693384 A
20.6755689256857 A
23.4232203539294 A
20.3429568314253 B
42.2280966912466 B
31.2348286492398 B
42.7838596344838 B
38.3044271804057 B
-0.208275235439515 B
22.4470365073 A
24.7860175295984 A
15.6478624851422 B
23.5353629127993 A
3.53154974470208 B
23.1114192612279 A
22.9871203036463 A
46.6372593695194 B
27.5024427867825 A
20.4269290378536 A
41.3061369705235 B
26.5192532836622 A
21.4719252961422 A
22.8877383538107 A
24.8617318823061 A
21.1847951542592 A
12.4965170259028 B
-0.812091526303433 B
9.43857064414312 B
28.3620573465039 B
27.7187297940874 B
5.81654311015682 B
25.8670124254924 A
17.6925427065808 B
23.0582813509088 A
23.0671203354502 A
56.1903234913485 B
23.0551799311355 A
23.4379836392954 A
24.4858310317531 A
33.0006269514315 B
20.9082674952101 A
39.3665568244798 B
23.7469638484985 A
23.0811562093581 A
21.9394749951728 B
6.5740591712957 B
22.2527229029281 A
22.5560119912732 B
21.2963724931173 B
11.7128769811807 B
25.1384968141621 A
44.9364065406818 B
19.1654020265446 A
16.8257007019454 B
23.0951865318115 A
28.5128073435144 B
24.1358186890684 B
37.7010539712473 B
26.5899451569879 B
26.0378854541065 A
22.2629865301301 A
33.8925682340659 B
21.2886575981185 A
24.4387097752558 A
1.21174881513955 B
23.8502381523097 A
21.6290295292865 A
23.3487891508217 A
52.1747475408702 B
22.386855873114 A
23.3588298109535 A
45.3893166388768 B
0.760029953256645 B
32.6831678572215 B
25.65926043372 A
24.9904423947234 A
23.7747995987326 A
27.0096207016461 B
23.7409003821768 A
20.9422659560598 B
23.4058329061194 A
27.2061909560188 A
20.6506016712294 A
54.3950383798059 B
28.0281348009978 A
21.2995490629689 A
33.1483727620505 B
22.4018822479388 A
23.6812518095497 B
22.4628503868396 A
23.8271694040476 A
23.2465456425309 A
22.1746498815627 A
24.3886632996985 B
22.3101771788263 A
22.8921038898612 A
-2.60860260840797 B
23.2590666321059 A
17.9022942181799 B
21.181790695597 A
22.3409826541104 A
20.467480221329 A
23.0941715713495 A
41.8034168407362 B
7.09218887481072 B
24.5262719710891 A
25.0385653390334 A
23.8992565659127 A
33.6608881525538 B
16.8709602608272 B
20.6514197075983 A
23.0044380169062 A
22.542658364641 A
26.6033178732433 B
24.87959463273 A
43.9014588431875 B
-6.5712927656301 B
21.5433841437548 A
23.2196037387233 A
19.9806506774261 B
35.7493793435622 B
7.33311770125488 B
20.7455559431429 B
